Year,MNO,Latitude,Longitude,UMTS900,UMTS2100,LTE700,LTE900,LTE1800,LTE2100,LTE2300,LTE2600
2018,Optus,-34.93357341,138.6113507,,Y,,,Y,,,
2018,Optus,-34.8744351,138.551979,Y,Y,Y,,Y,,Y,
2018,Optus,-34.805347,138.726462,,Y,,,,,,
2018,Optus,-34.15780769,138.4041418,Y,Y,Y,,,,,Y
2018,Optus,-34.90928108,138.5682756,Y,Y,Y,,Y,,Y,Y
2018,Optus,-34.77593264,138.6371056,Y,Y,Y,,Y,,Y,
2018,Optus,-34.9959694,138.554542,Y,Y,Y,,Y,,Y,
2018,Optus,-34.89005169,138.6133294,,Y,,,,,Y,
2018,Optus,-34.93654231,138.6041885,Y,,,,Y,,,
2018,Optus,-35.02445586,138.5223541,Y,Y,Y,,Y,,Y,
2018,Optus,-35.01748752,138.5148627,Y,Y,Y,,Y,,Y,
2018,Optus,-34.82079387,138.6813643,Y,Y,Y,,Y,,Y,
2018,Optus,-34.82214923,138.7151737,Y,Y,,,,,,
2018,Optus,-34.863554,138.648573,Y,Y,Y,,Y,,Y,
2018,Optus,-34.92346428,138.5940886,,Y,,,Y,,,
2018,Optus,-34.89033093,138.5448456,,Y,,,,,,
2018,Optus,-34.927288,138.622554,Y,Y,Y,,Y,,Y,
2018,Optus,-34.855516,138.571691,,Y,,,,,,
2018,Optus,-34.881747,138.633275,Y,Y,Y,,Y,,Y,
2018,Optus,-34.93781,138.535375,,Y,,,,,,
2018,Optus,-34.89691592,138.6370986,Y,Y,Y,,Y,,Y,
2018,Optus,-34.937094,138.570985,Y,Y,Y,,Y,,Y,
2018,Optus,-34.87658078,138.5236766,,Y,,,,,,
2018,Optus,-34.67850176,138.6856297,Y,Y,Y,,Y,,Y,Y
2018,Optus,-34.76160782,138.6450449,Y,Y,Y,,Y,,Y,
2018,Optus,-34.97922049,138.5541043,Y,Y,Y,,Y,,Y,
2018,Optus,-36.180546,140.44319,Y,,Y,,,,,
2018,Optus,-34.78592256,138.6348484,Y,Y,Y,,Y,,Y,
2018,Optus,-34.924313,138.604634,Y,Y,Y,,Y,,Y,Y
2018,Optus,-34.912083,138.571667,Y,Y,Y,,Y,,Y,
2018,Optus,-34.865484,138.500426,Y,Y,,,,,,
2018,Optus,-34.98620063,138.5700843,,Y,,,,,,
2018,Optus,-34.907603,138.591179,,Y,,,,,,
2018,Optus,-34.943938,138.5805311,Y,Y,Y,,Y,,Y,
2018,Optus,-34.95089664,138.6410877,Y,Y,Y,,Y,,Y,
2018,Optus,-34.93199815,138.5869884,Y,Y,,,Y,,,
2018,Optus,-34.93729615,138.5905594,Y,Y,Y,,Y,,Y,
2018,Optus,-34.841106,138.595076,,Y,,,,,,
2018,Optus,-34.897052,138.652641,,Y,,,,,,
2018,Optus,-34.86395537,138.5704333,Y,Y,Y,,Y,,Y,
2018,Optus,-35.10651433,138.5196368,,Y,,,,,,
2018,Optus,-34.945006,138.562749,Y,Y,Y,,Y,,Y,
2018,Optus,-34.62721159,138.5320174,Y,Y,Y,,Y,,,Y
2018,Optus,-34.65169041,138.6394966,Y,Y,Y,,Y,,Y,
2018,Optus,-34.8798612,138.563286,,Y,,,,,,
2018,Optus,-34.927964,138.606499,Y,Y,Y,,Y,,Y,
2018,Optus,-34.962083,138.640953,,Y,,,,,,
2018,Optus,-34.872662,138.699594,Y,Y,Y,,Y,,Y,
2018,Optus,-35.005568,138.513086,,Y,,,,,,
